"ID_REF"	"GSM4218504"	"GSM4218505"	"GSM4218506"	"GSM4218507"	"GSM4218508"	"GSM4218509"	"GSM4218510"	"GSM4218511"	"GSM4218512"
"A01"	6.0383	5.3325	4.1250	5.0150	4.5275	6.0500	3.1125	6.0250	4.2843
"A02"	10.5068	11.7525	4.6950	11.0000	7.0025	9.9900	11.3125	9.9950	9.9143
"A03"	2.0102	2.9025	1.7500	2.9850	1.5225	1.9900	1.4025	0.9950	0.9337
"A04"	1.0093	1.2825	1.4950	1.0050	1.5075	1.0200	1.5375	1.9950	1.6144
"A05"	2.0235	0.9675	1.7000	2.0100	2.5225	2.0300	0.7225	4.0150	1.6123
"A06"	3.9970	3.6825	0.7100	4.0000	2.5175	4.0300	3.2875	3.9950	3.7334
"A07"	2.5262	1.9975	1.5500	3.0150	2.5275	3.0300	1.6075	4.0150	2.2557
"A08"	1.0114	0.8475	0.9900	1.5150	1.0075	1.0300	0.4225	2.0050	0.9453
"A09"	-0.9984	-0.5325	-0.4150	-0.0150	0.0175	-0.9900	-0.3775	-0.9750	-0.7061
"A10"	7.0040	5.7775	2.3750	5.9850	3.9975	7.0500	4.4275	8.0250	6.5646
"A11"	0.0537	0.6325	0.5500	1.0300	0.5125	0.0500	0.3125	0.0050	0.3028
"A12"	2.0082	1.4875	0.7850	2.0350	1.5425	2.0200	1.6325	2.0250	1.7446
"B01"	1.5113	1.5625	1.2800	2.0150	2.0275	2.0500	1.5125	3.0250	1.8739
"B02"	12.0031	11.9525	5.2550	9.1000	7.5175	10.0200	8.4025	11.0450	8.2319
"B03"	6.0225	5.2275	4.4550	5.4900	5.5275	5.0200	4.8075	5.9950	5.2248
"B04"	1.9845	1.6225	1.9650	0.9900	1.0125	1.0100	-0.2625	1.0150	0.1533
"B05"	1.0107	0.9475	0.8350	1.0150	1.0225	1.0200	0.4625	1.0050	0.7732
"B06"	8.0031	8.9875	-0.4350	8.0500	2.0175	8.0200	6.6325	7.0150	6.2816
"B07"	4.0062	3.9375	3.2200	5.0050	3.4925	4.0000	3.3875	4.0150	3.2358
"B08"	6.0125	4.8875	4.2350	5.5050	5.5225	6.0400	4.4175	6.9950	4.9559
"B09"	5.5142	5.8225	1.9850	6.0100	3.5025	6.0300	4.1075	6.0150	4.8451
"B10"	12.0964	13.2875	3.7750	12.0900	6.5025	11.1100	13.2175	13.0950	13.1040
"B11"	2.0147	1.3275	1.2600	1.9900	1.5225	3.0000	-3.2125	2.9950	1.9264
"B12"	-0.0067	-1.5975	-0.5600	0.0000	-0.9725	-0.9700	-2.3575	-1.9550	-1.8548
"C01"	2.0230	1.2925	1.2550	2.0150	1.5325	2.0300	0.7325	3.0050	1.4326
"C02"	8.0156	6.9575	1.9250	7.5300	3.5025	6.0200	6.2675	6.0050	4.1832
"C03"	4.0154	4.0975	3.9600	4.0150	4.5075	4.0300	3.4675	4.0250	3.8936
"C04"	3.0133	3.8775	3.0850	3.9950	2.4925	3.0100	2.1025	2.9850	3.1162
"C05"	-0.4887	-0.9925	-0.0350	0.0000	0.5075	0.0000	-0.8125	2.0150	0.0658
"C06"	7.0108	6.5375	3.5300	6.5050	5.5275	9.0100	5.3075	9.0050	6.9841
"C07"	4.0143	3.5925	2.6250	4.0100	3.5175	5.0300	3.1775	6.0050	4.6723
"C08"	5.0150	5.0625	4.3300	5.0000	4.5125	5.0200	3.5725	5.0050	4.3653
"C09"	-0.0039	0.1625	0.5650	0.9950	0.5125	0.0000	0.2125	0.9850	0.0657
"C10"	2.0170	1.5675	1.8500	1.9950	2.5225	2.0400	1.7575	3.0150	1.9623
"C11"	4.5239	3.8375	3.8350	5.0050	4.5175	5.0200	4.3225	6.0150	4.5947
"C12"	4.0052	3.4875	-0.9400	3.5150	1.5125	3.0500	3.1225	4.9850	3.7658
"D01"	2.0014	2.7125	1.0250	2.9950	1.5275	1.0200	1.5775	1.0150	0.9843
"D02"	2.9999	1.6575	2.3050	2.0200	2.5125	2.0200	0.8425	1.9850	1.3524
"D03"	0.9836	0.0525	1.0550	1.0050	1.0125	0.0200	-0.2425	0.9850	-0.0479
"D04"	10.9974	9.7025	4.7800	9.0750	6.4925	9.0100	9.1425	8.9950	5.3642
"D05"	0.9780	0.8025	1.5650	1.4800	1.9975	1.0000	0.6775	2.9850	1.5962
"D06"	5.5087	4.7425	4.9400	6.0000	6.0175	5.0200	4.5325	6.9950	5.7342
"D07"	4.0108	3.9375	3.6150	5.0100	4.0125	4.0300	3.6025	4.0250	3.4330
"D08"	5.0199	4.9425	-0.7450	5.0100	1.0225	5.0200	5.0325	6.0150	5.1434
"D09"	-0.4713	0.8975	-0.2900	0.0150	0.0025	0.0500	0.1475	0.0050	0.3134
"D10"	10.9975	12.0975	4.9850	9.0900	6.0125	11.0100	10.4825	13.0050	11.7538
"D11"	0.5110	0.7375	-2.9400	0.5350	-2.4875	1.0000	0.9075	2.0150	2.1037
"D12"	2.0124	2.5625	2.0800	2.9950	2.0225	2.0000	1.2125	1.0050	1.2424
"E01"	3.0109	3.4225	2.2750	4.0100	3.5025	4.0300	3.4475	4.0250	3.8560
"E02"	1.0023	3.2325	0.4500	1.9950	0.4925	2.0200	1.9725	1.9950	2.0523
"E03"	6.5122	6.2925	5.8900	6.5100	6.5025	7.0200	4.7425	6.9950	5.8721
"E04"	0.0019	-0.0125	0.6100	0.5100	1.0175	0.0200	-0.1325	1.0350	-0.0665
"E05"	9.0216	7.2525	5.1950	6.5200	7.0175	6.0300	5.9075	8.0150	6.1552
"E06"	2.0097	1.0575	1.7350	3.0100	2.5275	2.0200	0.5725	1.0050	0.8222
"E07"	1.5084	1.1875	1.0200	2.0050	1.5225	2.0200	0.5925	3.0150	1.5745
